name,type
Iron Man,movie
Tony Stark,character
Pepper Potts,character
Happy Hogan,character
James Rhodes,character
Obadiah Stane,character
The Incredible Hulk,movie
Bruce Banner,character
Betty Ross,character
General Ross,character
Samuel Sterns,character
Iron Man 2,movie
Justin Hammer,character
Ivan Vanko,character
Thor,movie
Thor Odinson,character
Loki,character
Jane Foster,character
Heimdall,character
Odin,character
Sif,character
Captain America: The First Avenger,movie
Steve Rogers,character
Peggy Carter,character
Bucky Barnes,character
Howard Stark,character
Red Skull,character
The Avengers,movie
Phil Coulson,character
Natasha Romanoff,character
Clint Barton,character
Nick Fury,character
Iron Man 3,movie
Thor: The Dark World,movie
Malekith,character
Captain America: The Winter Soldier,movie
Sam Wilson,character
Guardians of the Galaxy,movie
Peter Quill,character
Gamora,character
Drax,character
Rocket,character
Groot,character
Ronan,character
Nebula,character
Yondu,character
The Collector,character
Avengers: Age of Ultron,movie
Wanda Maximoff,character
Pietro Maximoff,character
Vision,character
Ultron,character
Ant-Man,movie
Scott Lang,character
Cassie Lang,character
Hope van Dyne,character
Hank Pym,character
Luis,character
Captain America: Civil War,movie
T'Challa,character
Zemo,character
Doctor Strange,movie
Stephen Strange,character
Christine Palmer,character
Wong,character
Karl Mordo,character
Kaecilius,character
Dormammu,character
Guardians of the Galaxy Vol. 2,movie
Mantis,character
Ego,character
Ayesha,character
Spider-Man: Homecoming,movie
Peter Parker,character
Aunt May,character
Ned Leeds,character
MJ,character
Flash Thompson,character
Thor: Ragnarok,movie
Hela,character
Valkyrie,character
Korg,character
Miek,character
Grandmaster,character
Black Panther,movie
Nakia,character
Okoye,character
Shuri,character
M'Baku,character
Everett Ross,character
Ulysses Klaue,character
Avengers: Infinity War,movie
Ebony Maw,character
Cull Obsidian,character
Proxima Midnight,character
Corvus Glaive,character
Thanos,character
Ant-Man and the Wasp,movie
Ghost,character
Captain Marvel,movie
Carol Danvers,character
Maria Rambeau,character
Talos,character
Avengers: Endgame,movie
Spider-Man: Far From Home,movie
Mysterio,character
Black Widow,movie
Yelena Belova,character
Alexei Shostakov,character
Melina Vostokoff,character
Shang-Chi and the Legend of the Ten Rings,movie
Shang-Chi,character
Katy,character
Xu Wenwu,character
Xialing,character
Eternals,movie
Sersi,character
Ikaris,character
Kingo,character
Thena,character
Ajak,character
Spider-Man: No Way Home,movie
Doctor Strange in the Multiverse of Madness,movie
America Chavez,character
Thor: Love and Thunder,movie
Zeus,character
Gorr the God Butcher,character
Black Panther: Wakanda Forever,movie
Namor,character
